,Clave,Lon,Lat,Edo,Ciudad,Tmin,Tmed,Tmax,Ene
142,CALGR,-100.66,18.36,GRO,Ciudad Altamirano Gro.,16.59677419,25.48387097,34.37096774,0.0
143,VGRGR,-100.27,18.38,GRO,Vicente Guerrero Gro.,14.33870968,25.45967742,36.58064516,0.0
144,BVSGR,-99.4,18.46,GRO,Buena Vista Gro.,12.12903226,20.20967742,28.29032258,8.0
145,ACNGJ,-100.72,20.03,GTO,Acámbaro Gto.,7.741935484,16.17741935,24.61290323,2.04
146,SLSGJ,-100.67,20.05,GTO,Solís Gto.,7.806451612999999,16.29032258,24.77419355,1.02
147,JCRGJ,-100.52,20.13,GTO,Jerécuaro Gto.,4.709677419,14.58870968,24.46774194,0.03
148,ECBGJ,-100.9,20.28,GTO,El Cubo Gto.,5.0806451610000005,15.24193548,25.40322581,1.03
149,SLVGJ,-100.88,20.21,GTO,Salvatierra Gto.,6.629032258,16.34677419,26.06451613,1.71
150,LJIGJ,-101.36,20.28,GTO,Las Jícamas Gto.,7.7741935479999995,16.61290323,25.451612899999997,8.0
151,TARGJ,-100.75,20.28,GTO,Tarimoro Gto.,6.887096774,16.23387097,25.58064516,0.04
152,LDYGJ,-101.07,20.29,GTO,Laguna de Yuriria Gto.,5.741935484,14.90322581,24.06451613,2.51
153,SRTGJ,-101.07,20.3,GTO,Santa Rita Gto.,6.209677419,15.74193548,25.27419355,0.03
154,VDSGJ,-101.18,20.39,GTO,Valle de Santiago Gto.,6.677419355,15.0,23.32258065,0.01
155,SJLGJ,-101.02,20.4,GTO,Santa Julia Gto.,5.806451612999999,15.7983871,25.79032258,7.7
156,ABSGJ,-101.52,20.43,GTO,Abasolo Gto.,9.564516129,17.50806452,25.451612899999997,12.3
157,GLNGJ,-101.74,20.44,GTO,La Golondrina Gto.,9.838709677,16.51612903,23.19354839,1.01
158,APSGJ,-100.62,20.45,GTO,Apaseo el Alto Gto.,8.451612903,16.89516129,25.33870968,0.0
159,CRTGJ,-100.95,20.48,GTO,Cortázar Gto.,7.387096774,16.5483871,25.70967742,15.0
160,ATBGJ,-101.63,20.5,GTO,Agua Tibia Gto.,5.258064516,15.69354839,26.12903226,1.02
161,PERGJ,-101.13,20.52,GTO,Pericos Gto.,6.483870968,15.42741935,24.37096774,0.01
162,CLYGJ,-100.82,20.53,GTO,Celaya Gto.,7.709677419,17.20967742,26.70967742,2.1
163,AEGGJ,-100.68,20.53,GTO,Apaseo el Grande Gto.,7.935483871000001,17.92741935,27.91935484,0.0
164,AMCGJ,-100.58,20.55,GTO,Ameche Gto.,6.0,15.92741935,25.85483871,0.0
