,Estado,Lon,Lat,Clave,Est,Tmin
196,DGO,-104.93,26.24,VHGDR,Villa Hidalgo Dgo.,1.0806451609999999
197,DGO,-104.12,26.52,CEBDR,Ceballos Dgo.,1.0
198,GRO,-98.43,16.68,OMEGR,Ometepec Gro.,15.0
199,GRO,-99.75,16.76,ACUGR,Acapulco Gro. SMN*,18.80967742
200,GRO,-99.8,16.8,ODAGR,Observatorio de Acapulco Gro.,21.64193548
201,GRO,-99.1,16.95,AYUGR,Ayutla Gro.,16.83870968
202,GRO,-100.47,17.14,SJEGR,San Jerónimo Gro.,21.48387097
203,GRO,-99.53,17.17,TCOGR,Tierra Colorada Gro.,18.70967742
204,GRO,-98.6,17.5,TLPGR,Tlapa Gro.,12.5483871
205,GRO,-99.5,17.55,CHIGR,Chilpancingo Gro.,11.75806452
206,GRO,-99.5,17.6,ODZGR,Observatorio de Zumpango Gro.,14.51612903
207,GRO,-99.18,17.61,CHLGR,Chilapa Gro.,10.25806452
208,GRO,-99.7,17.67,CCHGR,Chichihualco Gro.,10.80645161
209,GRO,-98.74,17.78,OLNGR,Olinala Gro.,11.12903226
210,GRO,-99.98,17.79,TLAGR,Tlacotepec Gro.,8.290322581
211,GRO,-98.49,17.9,XXHGR,Xochihuehuetlán Gro.,10.48387097
212,GRO,-99.55,18.35,IGLGR,Iguala Gro.,15.48709677
213,GRO,-100.66,18.36,CALGR,Ciudad Altamirano Gro.,16.59677419
214,GRO,-100.27,18.38,VGRGR,Vicente Guerrero Gro.,14.33870968
215,GRO,-99.4,18.46,BVSGR,Buena Vista Gro.,12.12903226
216,GTO,-100.72,20.03,ACNGJ,Acámbaro Gto.,7.741935484
217,GTO,-100.67,20.05,SLSGJ,Solís Gto.,7.806451612999999
218,GTO,-100.52,20.13,JCRGJ,Jerécuaro Gto.,4.709677419
219,GTO,-100.9,20.28,ECBGJ,El Cubo Gto.,5.0806451610000005
220,GTO,-100.88,20.21,SLVGJ,Salvatierra Gto.,6.629032258
221,GTO,-101.36,20.28,LJIGJ,Las Jícamas Gto.,7.7741935479999995
222,GTO,-100.75,20.28,TARGJ,Tarimoro Gto.,6.887096774
223,GTO,-101.07,20.29,LDYGJ,Laguna de Yuriria Gto.,5.741935484
224,GTO,-101.07,20.3,SRTGJ,Santa Rita Gto.,6.209677419
225,GTO,-101.18,20.39,VDSGJ,Valle de Santiago Gto.,6.677419355
226,GTO,-101.02,20.4,SJLGJ,Santa Julia Gto.,5.806451612999999
227,GTO,-101.52,20.43,ABSGJ,Abasolo Gto.,9.564516129
